time (s)	det(V)
432675.503483	-0.002335	
432675.505484	-0.003168	
432675.509486	-0.003507	
432675.511487	-0.003147	
432675.513487	-0.003306	
432675.515486	-0.003010	
432675.517487	-0.003417	
432675.519487	-0.003715	
432675.521487	-0.003619	
432675.525485	-0.004121	
432675.527487	-0.004777	
432675.529487	-0.005194	
432675.531487	-0.005280	
432675.533486	-0.004345	
432675.535486	-0.004608	
432675.537488	-0.004476	
432675.539487	-0.004633	
432675.541487	-0.004888	
432675.545485	-0.004972	
432675.549485	-0.005919	
432675.551487	-0.005118	
432675.553487	-0.004921	
432675.555486	-0.004745	
432675.557487	-0.005121	
432675.559487	-0.004932	
432675.563485	-0.004762	
432675.565487	-0.005676	
432675.567486	-0.005709	
432675.571487	-0.005978	
432675.573487	-0.004519	
432675.575486	-0.004859	
432675.577486	-0.004630	
432675.579487	-0.004299	
432675.581488	-0.004572	
432675.583487	-0.005147	
432675.587486	-0.005189	
432675.589489	-0.004114	
432675.591494	-0.004101	
432675.593492	-0.003464	
432675.595491	-0.003523	
432675.597491	-0.003502	
432675.599490	-0.002646	
432675.601491	-0.003221	
432675.603492	-0.003723	
432675.605491	-0.003537	
432675.609491	-0.003574	
432675.611491	-0.002430	
432675.613493	-0.002044	
432675.615491	-0.001505	
432675.617491	-0.001581	
432675.619491	-0.001813	
432675.623490	-0.001551	
432675.625491	-0.002131	
432675.627491	-0.001934	
432675.631491	-0.002024	
432675.633491	-0.000734	
432675.635490	-0.000978	
432675.637490	-0.001327	
432675.639491	-0.000440	
432675.641491	-0.001036	
432675.645492	-0.001266	
432675.647492	-0.001624	
432675.649491	-0.000987	
432675.651491	-0.000759	
432675.653495	-0.000421	
432675.655493	-0.000302	
432675.657493	-0.000594	
432675.659492	-0.000361	
432675.661493	-0.000329	
432675.665503	-0.001259	
432675.669503	-0.001075	
432675.671503	-0.000261	
432675.673503	-0.000163	
432675.675503	-0.000319	
432675.677503	0.000153	
432675.681501	-0.000030	
432675.683503	-0.000510	
432675.685504	-0.000968	
432675.689503	-0.000813	
432675.691505	-0.000142	
432675.693505	-0.000012	
432675.695504	0.000066	
432675.697504	-0.000008	
432675.699505	0.000319	
432675.701508	-0.000830	
432675.705505	-0.000650	
432675.707505	-0.000401	
432675.709505	0.000196	
432675.711505	0.000655	
432675.713505	0.000635	
432675.715505	0.000676	
432675.717505	0.001217	
432675.719505	0.000398	
432675.721505	0.000251	
432675.725509	0.000420	
