time (s)	energy (uJ)	charge (mC)	voltage (mV)	crossing#mod 255
437570.148819	20.153225	0.002390	8.433455	211
437571.227416	21.180964	0.002392	8.853384	212
437572.209981	26.449844	0.002401	11.014095	213
437573.323968	17.837650	0.002420	7.372352	214
437574.308014	26.356218	0.002383	11.060950	215
437575.423018	18.516924	0.002414	7.671165	216
437576.407983	25.505411	0.002397	10.641004	217
437577.518109	16.231947	0.002414	6.723462	218
437578.502151	22.357008	0.002392	9.345649	219
437579.582742	23.042328	0.002395	9.619011	220
437580.602768	21.585539	0.002402	8.987567	221
437581.681328	20.676638	0.002396	8.631167	222
437582.665336	27.687090	0.002399	11.541441	223
437583.777359	20.399597	0.002394	8.522109	224
437584.763375	27.554827	0.002389	11.534671	225
437585.877948	18.050865	0.002384	7.572981	226
437586.860472	25.337263	0.002388	10.608074	227
437587.972994	16.841990	0.002398	7.023510	228
437588.957936	23.958996	0.002387	10.035496	229
437590.072453	15.030221	0.002404	6.252339	230
437591.054470	22.666286	0.002386	9.498720	231
437592.133049	21.857933	0.002395	9.125733	232
437593.151615	21.643667	0.002391	9.052052	233
437594.229459	20.457254	0.002385	8.576998	234
437595.215646	28.477798	0.002390	11.916924	235
437596.328256	19.510975	0.002394	8.150789	236
437597.310782	28.128836	0.002419	11.626708	237
437598.426827	17.368717	0.002385	7.281111	238
437599.407338	26.824350	0.002414	11.110225	239
437600.521366	17.017546	0.002402	7.083292	240
437601.507410	24.409931	0.002386	10.228856	241
437602.587986	22.210773	0.002386	9.310215	242
437603.604968	22.411947	0.002386	9.393076	243
437604.683522	21.606665	0.002398	9.008562	244
437605.699546	22.024237	0.002414	9.121691	245
437606.779526	20.765078	0.002394	8.675467	246
