time (s)	coil I (A)	last det (V)	int current (uC)
434424.254531	0.219050	58.593750	-512.792969
434424.256533	0.218316	2.401481	0.026406
434425.269099	0.209936	454.687500	-15.917969
434425.273099	0.218977	454.687500	-15.917969
434425.275102	0.218953	2.408482	0.230042
434427.467262	0.218082	281.640625	1.367187
434427.469265	0.217594	2.393531	0.046584
434429.661935	0.220994	168.164062	12.695312
434429.663938	0.220364	2.424009	0.005181
434431.726028	1.370095	182.910156	11.718750
434431.728028	0.218108	2.399185	0.008492
434433.824189	0.218404	183.300781	9.472656
434433.826190	0.217989	2.397874	0.004452
434435.920882	0.218892	173.925781	8.496094
434435.922884	0.218358	2.401942	0.003596
434436.804918	0.219038	59.472656	-544.140625
434436.806922	0.218133	2.399460	0.027340
434437.822996	0.218270	441.015625	-12.792969
434437.824998	0.217682	2.394497	0.273688
434440.017145	0.218330	270.117187	1.757812
434440.019149	0.217669	2.394364	0.038644
434442.179878	0.220926	202.050781	7.031250
434442.181879	0.220319	2.423512	0.007613
434444.274592	0.211349	194.726562	8.593750
434444.276591	0.218559	194.726562	8.593750
434444.278593	0.218091	2.398999	0.009050
434446.372731	0.219547	182.617187	9.667969
434446.374733	0.218680	2.405478	0.004950
434448.468845	0.209500	183.105469	9.765625
434448.470849	0.218603	183.105469	9.765625
434448.472847	0.218582	2.404405	0.006608
434450.568961	0.218176	178.222656	10.839844
434450.570962	0.217666	2.394329	0.004096
434451.453480	0.217913	61.523437	-565.039062
434451.455481	0.217397	2.391369	0.023375
434452.435510	0.219950	473.730469	-12.695312
434452.437516	0.219256	2.411814	0.327737
434454.629734	0.218587	287.304687	6.640625
434454.631734	0.218532	2.403856	0.055185
434456.825888	0.218252	176.269531	16.113281
434456.827890	0.217464	2.392104	0.007333
434458.922104	0.216955	176.855469	15.722656
434458.924106	0.218872	2.407587	0.008045
434461.020261	0.219158	181.445312	13.769531
434461.022264	0.218167	2.399841	0.008358
434463.116430	0.217501	177.441406	12.597656
434463.118432	0.219415	2.413569	0.007076
434465.180538	0.209809	190.917969	10.449219
434465.182541	0.218916	190.917969	10.449219
434465.184540	0.218277	2.401047	0.010573
434467.280680	0.219653	178.027344	11.328125
434467.284681	0.218776	2.406532	0.007010
434469.376858	0.218965	179.394531	12.792969
434469.378858	0.218304	2.401348	0.314099
434471.473908	0.219197	167.382812	16.113281
434471.475908	0.218559	2.404148	0.226084
434473.537999	0.219222	189.648437	15.722656
434473.540001	0.218395	2.402340	0.013175
434475.634164	0.220078	190.429687	14.843750
434475.636166	0.219574	2.415315	0.012404
434477.732324	0.218844	191.113281	14.453125
434477.734325	0.218009	2.398095	0.012083
434479.831405	0.218080	189.648437	14.648437
434479.833407	0.217619	2.393806	0.009908
434481.926400	0.219173	178.222656	16.308594
434481.928402	0.218291	2.401206	0.010522
434484.022546	0.219078	175.097656	16.894531
434484.024547	0.219597	2.415572	0.009424
434486.088693	0.220889	187.695312	16.113281
434486.090694	0.220370	2.424071	0.015144
434488.184790	0.219597	179.882812	17.382812
434488.186793	0.218581	2.404388	0.012589
434490.280930	0.215856	177.539062	18.261719
434490.282929	0.221719	177.539062	18.261719
434490.284930	0.221115	2.432268	0.010440
434492.381007	0.220101	177.832031	17.578125
434492.383009	0.219619	2.415811	0.008011
434494.444070	0.219685	187.597656	14.648437
434494.448070	0.218459	2.403049	0.060548
434496.540217	0.221087	196.093750	12.890625
434496.542218	0.220432	2.424753	0.011387
434498.636909	0.217904	197.460937	12.597656
434498.638913	0.220236	2.422591	0.011861
434500.735553	0.219906	185.546875	14.160156
434500.737556	0.219340	2.412745	0.080811
434502.831808	0.221604	185.937500	14.941406
434502.833810	0.220779	2.428573	0.012687
434504.929930	0.219423	178.710937	17.871094
434504.931929	0.218653	2.405185	0.149507
434506.996106	0.218941	194.335937	17.871094
434506.998105	0.218404	2.402447	0.016506
434509.090769	0.219252	181.835937	19.824219
434509.092771	0.218275	2.401020	0.014847
434511.186870	0.213674	181.542969	18.945312
434511.188874	0.220451	181.542969	18.945312
434511.190872	0.219941	2.419347	0.010795
434513.285556	0.219303	171.582031	18.359375
434513.287557	0.218663	2.405292	0.009352
434515.349696	0.218905	191.406250	15.625000
434515.351698	0.218182	2.400001	0.015633
434517.445853	0.219871	198.046875	14.843750
434517.447855	0.220914	2.430053	0.013634
434519.545940	0.217860	191.113281	14.843750
434519.547941	0.217372	2.391094	0.012422
434521.640602	0.219287	178.515625	15.820312
434521.642602	0.218441	2.402854	0.011724
434523.738780	0.219396	184.179687	16.113281
434523.740782	0.218621	2.404831	0.162143
434525.834835	1.084620	167.578125	17.968750
434525.836837	0.218517	2.403687	0.008977
434527.900945	0.220476	188.183594	17.675781
434527.902948	0.220048	2.420526	0.016274
434529.997160	0.219672	178.515625	20.312500
434529.999161	0.218875	2.407622	0.014084
434532.093266	0.219180	176.562500	21.875000
434532.095269	0.219292	2.412213	0.015198
434534.191335	0.218892	186.425781	21.191406
434534.193336	0.218023	2.398255	0.014157
434536.289442	0.219763	186.230469	20.605469
434536.291444	0.219114	2.410254	0.013834
434538.386093	0.221729	183.789062	19.238281
434538.388095	0.221062	2.431684	0.014382
434540.484654	0.218141	173.925781	18.750000
434540.486656	0.217524	2.392760	0.011160
434542.546837	0.220311	191.113281	15.917969
434542.548838	0.219430	2.413728	0.017474
434544.642988	0.211281	182.714844	16.992187
434544.644991	0.218503	182.714844	16.992187
434544.646991	0.217843	2.396270	0.015462
434546.743101	0.220048	177.148437	18.554687
