num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
3571	435504.771617	46.514757	23.839114	2.118066	3.342935
3573	435508.947838	46.032247	23.776904	2.121423	2.500058
3575	435513.140421	45.862183	23.591643	2.123790	4.131640
3577	435521.499328	45.848315	23.318500	2.127214	3.259258
3579	435525.679795	21.081234	58.058170	0.987092	3.171891
3581	435529.851914	79.305092	27.289174	-3.854500	2.996594
3583	435534.034435	46.012699	22.958775	-0.992725	3.934789
3585	435538.216225	45.392182	22.905240	-0.993911	3.971187
3587	435548.682149	28.600533	106.941407	-1.873414	3.418786
3589	435552.863334	45.143854	22.387093	2.157889	2.594318
3591	435557.044246	45.018499	22.428846	-0.972810	2.956712
3593	435561.223932	44.961069	22.316246	-0.972175	3.144940
3595	435565.405211	44.812222	22.099641	-0.961411	3.203196
3597	435569.581428	44.628294	22.034403	-0.963941	3.153266
3599	435573.761870	18.287185	57.231637	0.998752	3.269615
3601	435577.941953	78.712864	26.237672	2.443241	2.856204
3603	435582.126343	0.000000	-37.720400	1.390049	3.165212
3605	435586.310948	19.758724	56.124857	1.017582	3.217904
3607	435590.496312	77.399404	23.733692	2.476593	3.467067
3609	435594.677940	44.445526	21.024068	-0.931872	3.378454
3611	435598.859121	44.262191	20.967763	-0.926106	3.443378
3613	435603.040259	44.401864	20.782256	-0.925009	3.583083
3615	435607.218936	44.265771	20.872399	-0.926041	3.466391
3617	435611.398194	44.246118	20.712474	2.218317	3.338819
3619	435615.578996	44.043980	20.762447	2.224472	3.243352
3621	435619.763740	43.822523	20.723125	2.232425	3.358647
3623	435623.950916	43.705820	20.442619	2.230867	3.292567
3625	435628.136480	43.340777	20.233923	2.230463	3.396180
3627	435632.318849	43.292088	20.206886	-0.903719	3.124008
3629	435636.499821	43.377434	19.941815	-0.901502	3.195769
3631	435640.679728	24.127165	35.617978	-1.813829	3.230849
3633	435644.857578	43.062790	19.867446	-0.893061	3.240606
3635	435649.035226	43.251425	19.867653	2.245801	3.187526
3637	435653.215782	43.298965	19.699603	-0.892945	3.280690
3639	435657.396524	43.439231	19.574175	-0.888971	3.290518
3641	435661.580151	43.263980	19.391488	2.265245	3.206278
3643	435665.763342	18.353634	52.865443	1.065260	3.195440
3645	435669.946629	76.154961	18.811282	2.520662	3.261749
3647	435674.128112	21.788401	36.524787	4.399681	3.347037
3649	435678.308540	42.901719	18.860144	-0.865439	3.373951
3651	435682.488842	42.724002	18.949167	-0.861785	3.315119
3653	435686.669371	42.735406	18.870126	2.280576	3.185674
3655	435690.850888	16.594126	52.766152	1.091915	3.179871
3657	435695.036907	75.983961	19.450956	2.511784	3.167130
3659	435699.221141	41.981356	18.415248	2.291443	3.199391
3661	435703.406014	41.861924	18.382313	2.293388	3.272716
3663	435707.588929	41.933868	18.134884	-0.848090	3.074028
3665	435711.770495	41.794736	17.989514	2.295703	3.131971
3667	435715.950361	41.636840	17.991974	-0.838378	3.181004
3669	435720.128389	41.543330	17.908457	-0.835252	3.137769
3671	435724.307053	41.729987	17.929337	-0.832500	3.226367
3673	435728.487075	41.348527	17.802466	2.314062	3.112467
3675	435732.667535	41.481453	17.649679	2.312734	3.094278
3677	435736.849788	41.538803	17.486572	2.315156	3.093247
