time (s)	det(V)
435504.095275	0.020322	
435504.097276	0.019037	
435504.099276	0.018345	
435504.101275	0.017710	
435504.103275	0.016549	
435504.105276	0.015615	
435504.107276	0.014139	
435504.109276	0.013292	
435504.113273	0.012229	
435504.117273	0.009714	
435504.119275	0.008717	
435504.121275	0.007998	
435504.123275	0.007415	
435504.125276	0.006707	
435504.127275	0.006407	
435504.131274	0.005994	
435504.133274	0.004268	
435504.135276	0.003580	
435504.139275	0.003454	
435504.141276	0.003352	
435504.143275	0.003562	
435504.145277	0.003242	
435504.147275	0.003123	
435504.149275	0.003407	
435504.151276	0.002452	
435504.155277	0.002854	
435504.157278	0.003000	
435504.159278	0.004216	
435504.161282	0.004622	
435504.163288	0.004714	
435504.165287	0.004979	
435504.167287	0.005600	
435504.171285	0.005364	
435504.175285	0.005833	
435504.177288	0.007119	
435504.179288	0.007805	
435504.181287	0.008018	
435504.183289	0.008512	
435504.185287	0.008470	
435504.189285	0.008868	
435504.191287	0.007764	
435504.193288	0.008257	
435504.197287	0.008151	
435504.199287	0.008996	
435504.201287	0.008731	
435504.203287	0.008299	
435504.205288	0.008211	
435504.207286	0.007598	
435504.211294	0.006503	
435504.215292	0.005560	
435504.217294	0.005924	
435504.219293	0.005088	
435504.221295	0.004386	
435504.223293	0.003644	
435504.227291	0.003229	
435504.229293	0.001202	
435504.231293	0.000367	
435504.235293	0.000166	
435504.237293	-0.000658	
435504.239294	-0.001260	
435504.241293	-0.002305	
435504.243292	-0.002537	
435504.245293	-0.003798	
435504.247297	-0.004952	
435504.253292	-0.005879	
435504.255292	-0.006618	
435504.257295	-0.007466	
435504.259297	-0.007889	
435504.261296	-0.008046	
435504.265293	-0.008551	
435504.267295	-0.009820	
435504.269295	-0.010597	
435504.273295	-0.010499	
435504.275296	-0.010220	
435504.277296	-0.010166	
435504.279299	-0.010402	
435504.281295	-0.010296	
435504.283296	-0.010023	
435504.285295	-0.011232	
435504.289293	-0.010793	
435504.291295	-0.010481	
435504.293296	-0.009127	
435504.295295	-0.009009	
435504.297295	-0.008807	
435504.299296	-0.008102	
435504.301295	-0.008020	
435504.303295	-0.007974	
435504.305295	-0.007939	
435504.307296	-0.008279	
435504.311296	-0.006600	
435504.313296	-0.006124	
435504.315295	-0.005659	
435504.317296	-0.005171	
435504.319296	-0.005357	
435504.321296	-0.005025	
435504.325293	-0.005447	
435504.327295	-0.005232	
435504.329296	-0.005540	
435504.331296	-0.005517	
435504.333295	-0.004605	
435504.335295	-0.005364	
435504.337295	-0.005249	
435504.339296	-0.005652	
435504.341295	-0.006138	
435504.345293	-0.006526	
435504.347295	-0.008326	
435504.351296	-0.008755	
435504.353295	-0.009728	
435504.355299	-0.010482	
435504.357296	-0.012114	
435504.359296	-0.012782	
435504.363293	-0.013470	
435504.365296	-0.016169	
435504.367296	-0.018321	
435504.371295	-0.018636	
435504.373297	-0.019859	
435504.375296	-0.021481	
435504.377296	-0.022537	
435504.379296	-0.023879	
435504.381296	-0.025378	
435504.385294	-0.026834	
435504.389296	-0.029556	
435504.391294	-0.031500	
435504.393295	-0.032062	
435504.395295	-0.033750	
435504.397296	-0.034881	
435504.401293	-0.035667	
435504.403295	-0.038713	
435504.405295	-0.039587	
435504.409295	-0.040913	
435504.411296	-0.041876	
435504.413294	-0.042510	
435504.415295	-0.043319	
435504.417296	-0.043855	
435504.419295	-0.044790	
435504.421296	-0.045820	
435504.425296	-0.046282	
435504.427296	-0.047195	
435504.429295	-0.046732	
435504.431296	-0.046864	
435504.433295	-0.046719	
435504.435295	-0.047435	
435504.437294	-0.047147	
435504.439296	-0.047968	
435504.441295	-0.048898	
435504.443298	-0.048540	
435504.447294	-0.048896	
435504.449294	-0.048734	
435504.451297	-0.049029	
435504.453299	-0.049281	
435504.455298	-0.050001	
435504.457297	-0.050429	
435504.461296	-0.050912	
435504.463297	-0.053484	
435504.465297	-0.054010	
435504.469297	-0.055191	
435504.471298	-0.057126	
435504.473297	-0.058632	
435504.475298	-0.060416	
